date,giving_party,receiving_party,what_was_given,delivered_status,description
2026-02-02,"Bond investors","Oracle","$25B bond sale (part of a $50B capital raise); order book peaked at $129B","Delivered","Priced at a 145bps 'AI premium' over Treasuries, reflecting rising credit-market concern; Oracle (rated Baa2/BBB, two notches above junk) flagged by CNBC/Fortune as the most credit-risky of the AI hyperscalers due to cash burn."
2026-02,"Nvidia","OpenAI Group PBC","~$30B direct equity, part of a >$100B round at ~$730B pre-money valuation","Actual — replaces the Sept 2025 $100B LOI","The headline $100B figure was never fully committed; only the first ~$10B tranche was ever near-term real."
2026-02-18,"Autodesk ($200M), AMD, Emerson Collective, Fidelity, Nvidia","World Labs","$1B round","Delivered","Total raised to date $1.23B; company declined to confirm resulting valuation (Jan 2026 reported talks had cited ~$5B)."
2026-02-27,"Trump administration / US Department of Defense","Anthropic","Government-wide ban on Anthropic products; contractors required to certify non-use of Claude","COLLAPSED — the July 2025 $200M CDAO contract effectively terminated; a federal appeals court denied Anthropic's stay request, though a separate SF court injunction blocks enforcement elsewhere","Triggered after Anthropic refused to let Claude be used for bulk domestic surveillance; by April 2026 DoD confirmed it was 'not working with Anthropic.' xAI reportedly became the second company approved for classified-network use afterward — medium confidence, single-source attribution."
2025 to 2026,"Broadcom (guidance)","Broadcom's own AI semiconductor business","FY2025 actual AI-semiconductor revenue ~$20B (+65% YoY); FY2026 guidance raised to ~$56B (~180% growth); FY2027 target >$100B","Guidance/target for FY2026-27, not yet delivered","Stock rallied ~199% off its 2025 low before pulling back >20% from its Dec 2025 peak — the rally is predominantly AI-narrative-driven even though VMware/infrastructure software is ~40% of Broadcom's actual revenue."
2026-04,"Meta","Broadcom","1GW of custom MTIA AI chips co-designed with Broadcom (first AI silicon on 2nm)","Confirmed","Coincided with Hock Tan stepping down from Meta's board. Roadmap covers MTIA 100–500 through 2027, scaling to 'multiple gigawatts' by 2027+. A separately reported $35B MTIA extension through 2029 is single-source and unconfirmed."
2026-05-13,"Jen-Hsun & Lori Huang Foundation","Unnamed universities and nonprofit research institutions","$108.3M in-kind CoreWeave cloud compute capacity (not cash)","Disclosed via Reuters reporting","Some coverage flags a related-party angle: Nvidia is itself an investor in CoreWeave, so this compute donation also increases demand for a company Nvidia and Huang have a financial stake in."
2026-06-05,"Nvidia","SK Hynix, Samsung Electronics, Micron","Official multi-vendor HBM4 certification for the Vera Rubin platform","Confirmed — company-confirmed via CEO Jensen Huang statement","First official multi-vendor acknowledgment; ends the 'who actually passed qualification' uncertainty that shaped the preceding year of reporting. Estimated allocation split ~60-70% SK Hynix, ~25-30% Samsung — analyst estimate, not Nvidia-disclosed."
2026-06,"Nvidia","SK Hynix","Multi-year HBM co-development agreement through 2030, including Nvidia advance payments","Confirmed via multiple outlets incl. SK hynix Newsroom",""
2026 (in talks),"Unnamed investors","Mercor","Reportedly $500M at $20B valuation","Talks only — not yet closed as of research date","Would be 2x the Oct 2025 valuation in ~8 months; revenue reportedly crossed $2B annualized by June 2026."
2026-07,"Aramco Ventures (lead), Vista Equity Partners, General Catalyst, Nvidia","Together AI","$800M Series C at $8.3B valuation","Delivered","Total raised ~$1.33B; Nvidia has now participated in three consecutive rounds — investor and GPU supplier at once, same dual role as Crusoe."
2026-07-25,"Nvidia","SK Group (SK Hynix, SK Telecom)","$500B+ partnership spanning AI factory construction to HBM4 supply, incl. SK Telecom's 2GW AI Cloud with Vera Rubin/SK hynix HBM4","Announced/LOI-based, not binding — scope and enforceability unclear","Another headline mega-figure in the same 'LOI, not contract' category as Stargate's $500B and Humain's $100B."
2026 (in talks),"Unnamed investors","Crusoe","Reportedly raising $3B at a $30B valuation","Talks only — not yet closed as of research date","Valuation would be roughly 3x the Oct 2025 Series E in under a year."
2026-08-07,"SK Hynix (board-approved capex)","SK Hynix's own fab expansion (Yongin 'Y2', Cheongju 'M17')","KRW54T (~$39.42B) board-approved capex — ~KRW35.2T/$25.7B for the Yongin HBM/next-gen-DRAM fab, ~KRW19.1T/$13.9B for the Cheongju NAND fab","Confirmed — board-approved, company-disclosed","Part of a larger disclosed long-term plan: ~KRW600T (~$438B) for the Yongin cluster and ~KRW100T (~$73B) for Cheongju — AI-demand-driven capex on the same scale as this dataset's Broadcom/Oracle infrastructure-buildout entries."
"2025 FY to 2026-Q1","SK Hynix (guidance/earnings)","SK Hynix's own AI-memory business","FY2025 operating profit KRW47.21T (overtook Samsung's for the first time ever); Q1 2026 revenue KRW52.58T (+198% YoY), 72% operating margin","Confirmed — company-reported earnings","Counterexample-adjacent: real, audited profit growth rather than a pledge — parallels this dataset's Broadcom AI-revenue-guidance row."
"2025 to 2026","AI-driven HBM/DRAM demand (market-wide)","SK Hynix, Samsung, Micron (memory industry)","HBM market ~$35B (2025) rising to an est. $54.6B (2026, Bank of America estimate); Micron's CEO projects ~$100B by 2028; TrendForce revised Q1 2026 contract DRAM prices up ~90-95% QoQ, with spot DDR4 8Gb reportedly +683% over 8 months","Analyst/tracker estimates, not audited — medium confidence throughout","The 'AI premium' showing up as a hard price shock across the entire memory industry, not just AI-labeled line items — a knock-on effect of the same buildout the rest of this dataset tracks."
